TX_CAPA;TX_NOMBRE;Shape_Leng
CICLOCALLES;Calle del Arroyo de la Media Legua;846,8657711
CICLOCALLES;Calle de Sierra Toledana;256,4569557
PEATONAL;Calle de la Fuente Carrantona;180,7689929
CICLOCALLES;Calle de la Hacienda de Pavones;157,7005766
CICLOCALLES;Calle de la Encomienda de Palacios;135,844364
CICLOCALLES;Calle de la Tacona;275,7828682
CICLOCALLES;Calle de Luis Ruiz;1117,290867
CICLOCALLES;Calle de Esteban Collantes;666,1928521
CICLOCALLES;Calle del Puerto de Canfranc;106,5596236
CICLOCALLES;Calle de Francisco Abril;166,0849159
CICLOCALLES;Calle de Los Mesejo;328,7686969
CICLOCALLES;Calle de Santurce;481,2308705
PEATONAL;Calle de Novecento;264,1071796
CICLOCALLES;Calle de Hernﬂndez Mas;267,5422826
CICLOCALLES;Calle de la Imagen;413,3415767
CICLOCALLES;Calle del Puerto de la Bonaigua;303,8497002
CICLOCALLES;Calle de Esteban Carros;510,9227374
CICLOCALLES;Calle del Padre Llanos;104,1883649
CICLOCALLES;Calle de Pedroches;412,6149891
CICLOCALLES;Calle de la Campi±a;20,297091
CICLOCALLES;Calle de Esteban Carros;679,4495067
CICLOCALLES;Calle de Mend›vil;429,5300065
CICLOCALLES;Calle del Puerto del Monasterio;623,925866
CICLOCALLES;Camino de Valderribas;802,6603922
CICLOCALLES;Calle de Antonia Calas;39,39113076
CICLOCALLES;Calle de Argente;235,0937034
CICLOCALLES;Calle del Puerto de Piedrafita;63,75835192
PEATONAL;Avenida de la Paz;169,1771577
CICLOCALLES;Calle de Arregui y Aruej;218,7894998
CICLOCALLES;Avenida de la Ciudad de Barcelona;34,1472643
CICLOCALLES;Calle del Doctor Fernando Primo de Rivera;113,1061977
CICLOCALLES;Calle del Doctor Salgado;394,4916727
CICLOCALLES;Calle del Puerto Alto;393,2158032
PEATONAL;Calle de Pe±a Gorbea;247,9116126
CICLOCALLES;Calle del Doctor Lozano;153,5730904
CICLOCALLES;Camino del Pozo del T›o Raimundo;344,2855569
CICLOCALLES;Camino del Pozo del T›o Raimundo;354,7594645
CICLOCALLES;Camino de las Hormigueras;1678,521091
CICLOCALLES;Calle de Sierra Vieja;425,5093337
CICLOCALLES;Camino de las Hormigueras;1719,906518
CICLOCALLES;Calle de Sierra Vieja;784,4930485
CICLOCALLES;Calle de Cyesa;291,0276511
CICLOCALLES;Calle de Jos⁄ Luis de Arrese;115,8794573
CICLOCALLES;Calle del Marqu⁄s de Lozoya;491,7538511
CICLOCALLES;Calle del Arroyo de la Media Legua;777,1589933
CICLOCALLES;Calle de Sierra Toledana;868,9056962
CICLOCALLES;Calle de la Virgen de Lluc;54,08568145
CICLOCALLES;Calle del Marqu⁄s de Lozoya;439,4071172
CICLOCALLES;Calle del Alcalde Læpez Casero;236,2554999
CICLOCALLES;Calle del Pez Austral;409,6125701
CICLOCALLES;Calle de Arias Montano;79,8404017
PEATONAL;Calle de la Estrella Polar;112,152484
CICLOCALLES;Calle de Juan Esplandiu;74,66410319
PEATONAL;Avenida de la Paz;221,5958071
CICLOCALLES;Calle de Ricardo Ortiz;962,6010845
CICLOCALLES;Calle de Ricardo Ortiz;990,3579191
CICLOCALLES;Calle de Antonio Toledano;403,1042605
CICLOCALLES;Calle de Iturbe;132,2051026
CICLOCALLES;Calle de Bocﬂngel;433,8235612
PEATONAL;Parque Fuente del Berro;225,9369689
CICLOCALLES;Calle de Alejandro Gonzﬂlez;158,6484372
CICLOCALLES;Plaza de Am⁄rica Espa±ola;40,87486433
CICLOCALLES;Calle del Marqu⁄s de Mond⁄jar;501,4862738
CICLOCALLES;Calle de Vaquer›as;81,39325172
CICLOCALLES;Calle de los Condes de Torreanaz;151,0902114
CICLOCALLES;Calle de Juan Esplandiu;158,0445377
CICLOCALLES;Calle de Saliente;60,8514501
CICLOCALLES;Calle de Londres;497,7959825
CICLOCALLES;Calle de Alcalﬂ;30,21370761
CICLOCALLES;Avenida de los Toreros;246,4613164
CICLOCALLES;Calle de ?ngel Ganivet;69,78007252
CICLOCALLES;Avenida de San Luis;1914,194446
CICLOCALLES;Calle de Yerma;326,9798468
PEATONAL;Calle de Santa Mar›a Magdalena;240,2026135
CICLOCALLES;Calle de Uruguay;495,3916227
CICLOCALLES;Calle del Pintor Ribera;233,1010244
CICLOCALLES;Calle de Huelva;106,3467364
CICLOCALLES;Calle de Jorge Juan;901,6688001
CICLOCALLES;Calle de Santa Rafaela Mar›a del Sagrado Corazæn;263,732599
CICLOCALLES;Calle de Ferrer del R›o;303,312731
CICLOCALLES;Calle de Cartagena;1170,61443
CICLOCALLES;Avenida de Bruselas;110,4230211
CICLOCALLES;Calle de Lomb›a;340,4600269
CICLOCALLES;Calle de Maiquez;787,2279536
CICLOCALLES;Calle de Montesa;382,5384105
CICLOCALLES;Calle del Alcalde Sﬂinz de Baranda;1232,600043
CICLOCALLES;Calle del Alcalde Sﬂinz de Baranda;1250,632652
CICLOCALLES;Calle de Luis Mitjans;241,1203677
CICLOCALLES;Calle de Valderribas;780,200676
CICLOCALLES;Calle de Fromista;727,5834412
CICLOCALLES;Calle de la Retama;383,8205623
CICLOCALLES;Calle de Don Ramæn de la Cruz;1706,86406
CICLOCALLES;Calle de Nicasio Gallego;266,4326502
CICLOCALLES;Calle de Zurbarﬂn;599,2371536
CICLOCALLES;Calle de Padilla;1241,343511
CICLOCALLES;Calle de Luis Cabrera;598,9366298
CICLOCALLES;Avenida de Aster;289,3745945
CICLOCALLES;Paseo de los Cerezos;353,0158238
CICLOCALLES;Calle del Padre Claret;197,0764664
CICLOCALLES;Calle de la Drﬂcena;320,1261575
PEATONAL;Avenida de la Paz;355,3140733
CICLOCALLES;Calle de la Lagartera;418,6753431
CICLOCALLES;Calle de La Mancha;293,6868505
CICLOCALLES;Calle de Santa Rafaela Mar›a del Sagrado Corazæn;247,9986344
CICLOCALLES;Calle del Vizconde de Arlessæn;414,4081593
CICLOCALLES;Calle de la Lagartera;362,9497627
CICLOCALLES;Calle del Conde Rodr›guez San Pedro Mejorana;46,4332593
CICLOCALLES;Avenida del Monte Igueldo;879,6214816
CICLOCALLES;Calle de la Isla de Jamaica;252,8654049
CICLOCALLES;Calle del Preventorio;188,6786852
CICLOCALLES;Calle de Monasterio de Las Huelgas;122,0424354
CICLOCALLES;Calle de Trafalgar;124,6616732
CICLOCALLES;Calle de Blasco de Garay;668,3868644
CICLOCALLES;Calle de los Mﬂrtires de Alcalﬂ;240,6603219
CICLOCALLES;;131,9591825
CICLOCALLES;Plaza de Carlos Mar›a de Castro;20,35065277
CICLOCALLES;Calle de Castellæ;1870,334251
CICLOCALLES;Calle de N∑±ez de Balboa;1956,082565
CICLOCALLES;Parque Cu±a Verde de Latina;650,227721
CICLOCALLES;Calle del Profesor Jos⁄ Garc›a Santesmases;169,1169193
CICLOCALLES;Calle de Zurbano;1610,018892
CICLOCALLES;Calle de Fernﬂndez de la Hoz;1290,368297
CICLOCALLES;Paseo de los Olivos;638,954185
CICLOCALLES;Calle de Eugenia de Montijo;252,6647544
CICLOCALLES;Calle de Cebreros;249,6320812
CICLOCALLES;Parque Cu±a Verde de Latina;221,7029744
CICLOCALLES;Calle del Arroyo de las Pavas;94,92436255
CICLOCALLES;Calle del El Toboso;1242,920398
CICLOCALLES;Calle Principal de Provincias;608,3242701
CICLOCALLES;Calle de Joaqu›n Lorenzo;1163,360487
CICLOCALLES;Calle del General ?lvarez de Castro;132,6585651
CICLOCALLES;Calle de Trafalgar;124,4680993
CICLOCALLES;Calle de los Estudiantes;79,42414447
CICLOCALLES;Calle de Andr⁄s Mellado;1248,754104
CICLOCALLES;Avenida de S⁄neca;231,9938202
CICLOCALLES;Calle de la Senda del Rey;137,2381687
CICLOCALLES;Calle del Arzobispo Morcillo;976,5826787
CICLOCALLES;Calle de Balsaminas;60,65090044
CICLOCALLES;Calle del Conde de Vallellano;142,8753636
CICLOCALLES;Calle de Gonzalo Sandino;66,62109128
PEATONAL;Calle de Vi±egra;221,1495745
CICLOCALLES;Calle de Muntadas;304,6421847
CICLOCALLES;Calle de Cebreros;848,7226978
CICLOCALLES;Calle del General Romero Basart;318,7126102
CICLOCALLES;Calle de Jos⁄ de Cadalso;471,5739903
CICLOCALLES;Calle de Rafael Finat;139,8698579
CICLOCALLES;Calle de Jos⁄ de Cadalso;417,3683095
CICLOCALLES;Calle de Rafael Finat;264,3619317
PEATONAL;Calle de la Duquesa de Parcent;256,5714477
CICLOCALLES;Paseo de Mu±oz Grandes;132,3308238
CICLOCALLES;Calle de Camarena;536,5190707
CICLOCALLES;Calle del General Romero Basart;585,7535016
CICLOCALLES;Calle de Camarena;854,6472486
PEATONAL;Calle de la Vidauba;102,143785
PEATONAL;Calle de la Vidauba;66,25108499
CICLOCALLES;Calle de Mascaraque;368,5127008
CICLOCALLES;Calle de Consuelo Guzmﬂn;114,266011
PEATONAL;Avenida de los Poblados;92,35563192
PEATONAL;Calle de Tembleque;134,7840625
CICLOCALLES;Calle de Tembleque;361,4982812
PEATONAL;Avenida de los Poblados;102,4252562
PEATONAL;Calle de Tembleque;102,7887229
CICLOCALLES;Avenida del Padre Piquer;193,1945291
CICLOCALLES;Avenida del Padre Piquer;234,5990696
CICLOCALLES;Calle de Tembleque;98,73517914
CICLOCALLES;Calle de Illescas;425,8134535
CICLOCALLES;Calle de Tembleque;82,23900023
CICLOCALLES;Calle de Tembleque;396,6536579
PEATONAL;Calle de la Virgen del Sagrario;178,1824224
CICLOCALLES;Calle de Monse±or Oscar Romero;310,7412447
CICLOCALLES;Calle del Padre Amigæ;351,4470471
CICLOCALLES;Avenida de Nuestra Se±ora de Fﬂtima;157,8298589
CICLOCALLES;Calle de Monse±or Oscar Romero;316,5524865
CICLOCALLES;Calle de la Batalla de Torrijos;168,4120775
CICLOCALLES;Calle de Francisco Romero;120,0210885
CICLOCALLES;Calle de Antonio Antoranz;199,1950316
CICLOCALLES;Calle del Blasæn;359,9428279
CICLOCALLES;Plaza de Carabanchel;115,4134237
CICLOCALLES;Calle de la Sombra;96,95473449
PEATONAL;Calle de Monse±or Oscar Romero;57,58996425
PEATONAL;Calle de la Alhambra;179,1829847
CICLOCALLES;Paseo de la Puerta del Batﬂn;498,5190829
CICLOCALLES;Calle de Alverja;130,9104235
CICLOCALLES;Calle de Sep∑lveda;249,2719217
CICLOCALLES;Calle del Concierto;94,21103343
CICLOCALLES;Calle de Almazﬂn;246,4313292
CICLOCALLES;;132,3320729
PEATONAL;Calle de la Huerta de Casta±eda;71,73379351
CICLOCALLES;Calle de Riocabado;303,1987814
CICLOCALLES;Calle de Riocabado;354,4172713
PEATONAL;Calle de Carlos Fuentes;54,34951478
CICLOCALLES;Calle de H∑mera;217,7489945
CICLOCALLES;Calle de H∑mera;198,2879616
PEATONAL;Senda Real;294,9637424
PEATONAL;Avenida del Cardenal Herrera Oria;183,6458742
CICLOCALLES;Calle del Doctor Carmena Ruiz;167,144988
CICLOCALLES;Calle de la Colegiata;261,570308
CICLOCALLES;Plaza de Tirso de Molina;168,4522287
CICLOCALLES;Calle del Casino;324,2864694
CICLOCALLES;Calle de Tribulete;272,9473405
CICLOCALLES;Calle del Pez;522,6327727
CICLOCALLES;Calle de Gotarrendura;115,9941978
CICLOCALLES;Calle de Gotarrendura;118,7003567
PEATONAL;Calle de Preciados;510,0363138
PEATONAL;Calle del Carmen;346,460014
CICLOCALLES;Calle de la Corredera Baja de San Pablo;363,6082182
CICLOCALLES;Calle de los Tudescos;140,0785303
CICLOCALLES;Calle de Carretas;248,1888227
CICLOCALLES;Paseo de San Illﬂn;602,1664569
CICLOCALLES;Calle de Garcilaso;55,81323442
CICLOCALLES;Calle de la Batalla del Salado;862,8579824
CICLOCALLES;Calle de Amparo Usera;439,820631
CICLOCALLES;Calle del Cristo de la Victoria;485,3809219
CICLOCALLES;Calle de Enrique Fuentes;85,91557737
CICLOCALLES;Calle de Moratines;358,2095004
CICLOCALLES;Calle del Amor Hermoso;740,5722658
CICLOCALLES;Calle del Cristo de la Victoria;76,94025823
CICLOCALLES;Calle de Jerænimo de la Quintana;151,5932004
CICLOCALLES;Calle de Rodr›guez San Pedro;1002,498737
CICLOCALLES;Calle del General Lacy;484,6864631
PEATONAL;Paseo del Quince de Mayo;183,7695052
CICLOCALLES;Calle de Manuel Noya;117,8976597
CICLOCALLES;Calle de Marcelo Usera;419,8697912
CICLOCALLES;Calle de la Marquesa de Silvela;321,8288126
CICLOCALLES;Paseo de Santa Mar›a de la Cabeza;109,6617932
CICLOCALLES;Calle del Arroyo Opa±el;453,4272178
CICLOCALLES;Calle de Eusebio Morﬂn;49,14962356
CICLOCALLES;Calle V›a Lusitana;202,9226294
CICLOCALLES;Calle de Mercedes Arteaga;316,5992725
PEATONAL;Plaza de Fernﬂndez Ladreda;183,7650824
PEATONAL;Calle V›a Lusitana;168,1866896
CICLOCALLES;Calle de Fernando Gonzﬂlez;200,9406552
CICLOCALLES;Calle de Josefa Fernﬂndez Buterga;147,2850865
CICLOCALLES;Calle del Radio;304,9386385
CICLOCALLES;Calle del Camino Viejo de Legan⁄s;815,9862169
CICLOCALLES;Calle de Alejandro Gonzﬂlez;323,2041764
CICLOCALLES;Calle del Gorriæn;235,4629645
CICLOCALLES;Calle del Alf⁄rez Juan Usera;44,61351668
CICLOCALLES;Calle de Zaida;611,4940328
CICLOCALLES;Calle del Valle de Oro;774,0535312
CICLOCALLES;Calle de la V›a;463,3472714
CICLOCALLES;Calle de Nicolﬂs Morales;242,687435
CICLOCALLES;Calle de la Tærtola;110,1935441
CICLOCALLES;Calle de Matilde Hernﬂndez;385,2892481
CICLOCALLES;Calle de la Gaviota;199,1021824
CICLOCALLES;Calle de Zaida;278,5266797
CICLOCALLES;Calle de Carlos Dabﬂn;169,6820825
CICLOCALLES;Calle de Carlos Dabﬂn;101,141019
CICLOCALLES;Calle del Arroyo Valdecelada;165,0500108
CICLOCALLES;Calle de Carlos Dabﬂn;71,30120898
CICLOCALLES;Calle de Zaida;30,74324344
CICLOCALLES;Calle de Portalegre;114,0854524
CICLOCALLES;Calle de Portalegre;269,9134495
CICLOCALLES;Calle del Comandante Fontanes;405,3742994
CICLOCALLES;Calle de Sallaberry;47,70378284
PEATONAL;;76,35308518
PEATONAL;Calle de San Pompeyo;33,57534462
PEATONAL;Plaza de Fernﬂndez Ladreda;49,75726283
PEATONAL;Manzanares;336,7225743
CICLOCALLES;Calle de la Inmaculada Concepciæn;699,7477433
CICLOCALLES;Calle de Manuel Noya;130,9265656
CICLOCALLES;Calle de Tomﬂs Meabe;304,58236
CICLOCALLES;Calle de Salasierra;155,0613453
CICLOCALLES;Calle de Antonio de Leyva;60,97841906
CICLOCALLES;Calle de Baleares;554,4354912
CICLOCALLES;Calle de Manuel Noya;53,61046387
CICLOCALLES;Calle de Sorbe;51,15222764
CICLOCALLES;Calle de Antonio de Leyva;24,27170794
PEATONAL;Glorieta del Marqu⁄s de Vadillo;314,7456024
CICLOCALLES;Calle de Juliﬂn Gonzﬂlez;63,75740204
CICLOCALLES;Calle del General Ricardos;42,21714207
PEATONAL;Calle del General Ricardos;44,30803886
PEATONAL;Manzanares;92,53038343
CICLOCALLES;Avenida de la Emperatriz Isabel;247,6042387
CICLOCALLES;Paseo del Quince de Mayo;259,5816174
PEATONAL;Paseo de San Illﬂn;126,0749417
CICLOCALLES;Calle de San Marcos;115,6222457
CICLOCALLES;Calle de la Libertad;180,7302524
CICLOCALLES;Calle de Luis de Gængora;112,5155242
CICLOCALLES;Calle de Jacinto Verdaguer;221,7125811
PEATONAL;Calle de Toledo;320,4715842
PEATONAL;Paseo de Santa Mar›a de la Cabeza;174,2051402
CICLOCALLES;Calle de Juan Espa±ol;446,522413
PEATONAL;Manzanares;89,33782036
PEATONAL;Parque del Oeste;374,9929026
PEATONAL;Paseo del Pintor Rosales;172,9738362
PEATONAL;Manzanares;181,9412688
PEATONAL;Plaza de Oriente;169,1718494
CICLOCALLES;Paseo del Rey;592,9047927
CICLOCALLES;Calle de los Chulapos;138,4727642
CICLOCALLES;Paseo de la Puerta del ?ngel;216,645906
CICLOCALLES;Calle de Altamirano;549,7108169
CICLOCALLES;Calle de Ruy Gonzﬂlez de Clavijo;154,4301468
CICLOCALLES;Calle de la Rosaleda;639,6871217
CICLOCALLES;Calle del Buen Suceso;442,9079443
CICLOCALLES;Calle de Trujillos;135,1676347
CICLOCALLES;Calle de Santa ?rsula;180,8548167
CICLOCALLES;Calle de Caramuel;636,3950244
CICLOCALLES;Calle de Antonio Zamora;483,1763674
CICLOCALLES;Calle de Caramuel;170,1447515
CICLOCALLES;Paseo de la Puerta del ?ngel;312,4289007
CICLOCALLES;Calle de Fruela;145,4600084
CICLOCALLES;Paseo de la Puerta del ?ngel;209,773704
PEATONAL;Manzanares;19,99536494
PEATONAL;Puente de Segovia;107,1314031
PEATONAL;Puente de Segovia;109,5349624
PEATONAL;Avenida de Portugal;49,65732664
CICLOCALLES;Calle de San Pol de Mar;145,9485161
PEATONAL;Calle de Francisco y Jacinto Alcﬂntara;214,4969047
PEATONAL;Glorieta de San Antonio de la Florida;121,9915646
CICLOCALLES;Calle de Francisco y Jacinto Alcﬂntara;222,1400586
CICLOCALLES;Casa de Campo;194,33489
CICLOCALLES;Calle de Santa Pola;139,1949817
CICLOCALLES;Calle de Santa Fe;91,33679031
PEATONAL;Calle de Santa Pola;39,8997791
PEATONAL;Manzanares;83,00181564
CICLOCALLES;Glorieta de San Antonio de la Florida;161,8459807
PEATONAL;Manzanares;50,71179244
PEATONAL;Paseo del Pintor Rosales;191,4731126
CICLOCALLES;Calle de Francisco y Jacinto Alcﬂntara;208,7904814
CICLOCALLES;Calle de San Isidro de Sevilla;158,7986566
CICLOCALLES;Calle de Santa Casilda;185,8337007
PEATONAL;Calle de Bercial;26,77588677
CICLOCALLES;Calle de San Dﬂmaso;153,8329166
PEATONAL;Ronda de Toledo;87,00974217
CICLOCALLES;Calle de los Tintoreros;32,71258069
CICLOCALLES;Plaza del Comandante las Morenas;48,28976945
CICLOCALLES;Plaza de Puerta Cerrada;45,548311
CICLOCALLES;Calle de San Quint›n;30,82619251
CICLOCALLES;Calle del Roble;131,2777242
PEATONAL;Calle de Carlos III;82,95900361
CICLOCALLES;Calle de Lepanto;66,26474904
CICLOCALLES;Calle de las Fuentes;167,263513
CICLOCALLES;Calle de Ventura Rodr›guez;227,3726913
CICLOCALLES;Calle de Bernardo Læpez Garc›a;169,646384
CICLOCALLES;Traves›a del Conde Duque;208,6180683
CICLOCALLES;Calle de Calamocha;90,49374684
CICLOCALLES;Calle de Amaniel;501,9731174
CICLOCALLES;Calle de Luisa Fernanda;82,49338361
CICLOCALLES;Calle de Tutor;282,5614298
CICLOCALLES;Calle de Juan ?lvarez Mendizﬂbal;579,9827797
CICLOCALLES;Plaza de Cristino Martos;32,55537777
CICLOCALLES;Calle del Duque de Liria;208,1869352
CICLOCALLES;Calle de San Bernardino;270,0326324
CICLOCALLES;Calle de las Negras;64,43739103
CICLOCALLES;Paseo del Rey;302,0111088
CICLOCALLES;Calle de Evaristo San Miguel;360,39327
CICLOCALLES;Glorieta de San Vicente;193,6288371
CICLOCALLES;Calle de Mart›n de los Heros;157,723844
PEATONAL;Calle de Alberto Aguilera;152,9939723
PEATONAL;Calle de la Princesa;106,7219279
CICLOCALLES;Avenida de Portugal;49,2680799
CICLOCALLES;Calle de Saavedra Fajardo;280,7843909
CICLOCALLES;Plaza de Santo Domingo;62,5591464
CICLOCALLES;Calle de Jacometrezo;164,1571653
CICLOCALLES;Calle de Isabel la Catælica;210,5768212
CICLOCALLES;Calle de Fuencarral;982,4126062
CICLOCALLES;Calle del R›o;108,4816697
CICLOCALLES;Calle de la Bola;212,0886412
CICLOCALLES;Calle de Juan del Risco;393,2918704
PEATONAL;Calle de la Bola;44,55708779
CICLOCALLES;Plaza de Santo Domingo;73,08982293
CICLOCALLES;Calle de Guillermo Rolland;107,844542
CICLOCALLES;Calle del Reloj;173,3936536
CICLOCALLES;Calle de Leganitos;49,39585987
PEATONAL;Plaza de Espa±a;257,1618008
CICLOCALLES;Calle de Veneras;83,54779914
CICLOCALLES;Calle de la Palma;701,8264493
CICLOCALLES;Calle de los Embajadores;308,2335328
CICLOCALLES;Calle de Puerto Serrano;161,2995706
CICLOCALLES;Calle de la Vidauba;465,7523404
CICLOCALLES;Calle de Juan de Mariana;284,581628
PEATONAL;Parque de Enruque Tierno Galvﬂn;337,6374519
PEATONAL;Parque Lineal del Manzanares;465,7718885
CICLOCALLES;Calle del Cristo de la Vega;282,6609183
PEATONAL;Hospital Doce de Octubre;149,2966836
CICLOCALLES;Calle de Porta Coeli;270,7364157
CICLOCALLES;Calle de Dolores Barranco;612,1865382
CICLOCALLES;Calle de los Evangelios;81,84469525
PEATONAL;Manzanares;96,52512534
PEATONAL;Manzanares;81,42324295
PEATONAL;Manzanares;93,61981791
PEATONAL;Manzanares;232,9391585
PEATONAL;Calle del Maestro Arbos;35,82034908
CICLOCALLES;Calle del Pﬂrroco Eusebio Cuenca;624,2875812
CICLOCALLES;Calle de Bustamante;252,3365928
CICLOCALLES;Calle de Eros;499,4125117
CICLOCALLES;Calle de Meneses;393,282142
CICLOCALLES;Calle de Amaltea;415,496607
CICLOCALLES;Calle del Marqu⁄s de Cubas;206,4357355
PEATONAL;Calle de la Montera;348,0867626
CICLOCALLES;Calle de Alcﬂntara;752,4904501
CICLOCALLES;Calle de Fernﬂn Gonzﬂlez;1080,241085
CICLOCALLES;Calle de Bﬂrbara de Braganza;51,01536203
CICLOCALLES;Calle de Villanueva;816,2554491
CICLOCALLES;Calle de Palos de la Frontera;347,8488586
PEATONAL;Plaza de las Cortes;43,72070142
CICLOCALLES;Calle de Fernanflor;100,6253314
CICLOCALLES;Calle de Santa In⁄s;108,5836427
CICLOCALLES;Calle de Zorrilla;242,4357804
PEATONAL;Paseo de Santa Mar›a de la Cabeza;68,67302882
CICLOCALLES;Calle del Hospital;190,1163424
CICLOCALLES;Calle de Cervantes;354,1460223
CICLOCALLES;Calle del Marqu⁄s de Cubas;111,4683603
